tree_id,longitude,latitude,canopy_area,CanDia1,CanDia2,dieback_pc,max_height,base_live_canopy,diameter_at_base,diameter_at_30_cm,cookie_diameter,wet_mass_small_partititon,wet_mass_large_partititon,wet_mass_total,moisture_content_of_small_partition,moisture_content_of_large_partition,moisture_content_of_total,dry_mass_small_partititon,dry_mass_large_partititon,dry_mass_total,proportion_subsampled_and_dried_small_partition,proportion_subsampled_and_dried_large_partition,proportion_subsampled_and_dried_total,Notes
Comments,decimal degrees,decimal degrees,measured on orthomosaic. In m2,in m,in m,Percentage dieback average occular estimate by Cam and Nick,Maximum height in m measured with a mast,Base of live canopy in m,in cm,in cm,in cm,in g,in g,in g,As proportion of wet mass,As proportion of wet mass,As proportion of wet mass,in g,in g,in g,Subsamples as proportion of total mass,Subsamples as proportion of total mass,Subsamples as proportion of total mass,
P01,-106.236,34.44074,9,4.254,3.057,5,6.4,1.8,21.1,19.1,20.2,71960,114430,186390,0.422,0.414,0.417,41582.18,67035.8,108617.97,0.03,0.11,0.08,NA
P02,-106.236,34.44057,3,2.421,1.824,5,3.1,1.1,9.7,8.4,9.3,13280,8280,21560,0.626,0.4,0.513,4960.97,4966.98,9927.95,0.15,0.49,0.28,Some Gambel oak was removed from this plot prior to survey and harvest.
P03,-106.235,34.4405,1,1.385,1.256,0,1.1,0,5.4,3.4,5.2,4620,440,5060,0.477,0.485,0.478,2414.01,226.7,2640.71,0.43,1,0.48,"At 30 cm height there were three stems measuring 3.4, 1.3 and 1.1 cm in diameter. May need to digitally remove any points from overhanging branches but that would be straightforward."
P04,-106.235,34.4407,6,3.046,2.383,10,2.9,0,12.7,9.6,12.4,29960,12620,42580,0.591,0.429,0.531,12244.85,7204.5,19449.35,0.11,0.41,0.2,Very good candidate
P05,-106.235,34.4403,15,4.665,4.159,10,6.7,0.7,22.1,21.9,23.1,77230,179120,256350,0.452,0.385,0.403,42302.79,110227.44,152530.23,0.02,0.03,0.03,Diameter measured above swell damage. Non-square plot
P06,-106.234,34.4401,0.179621842,0.673,0.385,5,0.7,0,2.6,NA,2.4,627,NA,627,0.411,NA,0.411,369.3,NA,369.3,1,NA,1,Lovely small one
P07,-106.234,34.43914,0.068548524,0.359,0.265,5,0.6,0.1,2.7,NA,2.2,500,NA,500,0.494,NA,0.494,252.96,NA,252.96,0.98,NA,0.98,Lovely small one
P08,-106.234,34.43942,1,0.989,0.838,5,3.4,0.2,13.4,11.9,,26200,14480,40680,0.407,0.377,0.396,15538.28,9019.93,24558.21,0.08,0.27,0.15,NA
P09,-106.234,34.4395,3,2.282,1.644,5,2.2,0.7,5.7,4.8,5.7,17500,2342,19842,0.421,0.347,0.411,10132.99,1528.43,11661.43,0.13,0.71,0.2,NA
P10,-106.234,34.43988,0.150313921,0.49,0.342,0,0.3,0,1.3,NA,1.2,67,NA,67,0.49,NA,0.49,34.4,NA,34.4,1,NA,1,Lovely small one
P11,-106.234,34.43989,0.042562809,0.285,0.227,0,0.7,0,2.2,1.4,2.3,620,NA,620,0.504,NA,0.504,307.62,NA,307.62,1,NA,1,Lovely small one
P12,-106.234,34.44023,4,2.779,1.993,25,3.8,1,12.3,11.6,13.1,19340,21260,40600,0.469,0.339,0.394,10275.99,14048.57,24324.56,0.05,0.07,0.06,"High dieback, low needle retention, parasitic mistletoe present."
P13,-106.235,34.4408,18,5.257,4.843,10,1.2,0,6.4,3.4,6.6,4286,1432,5718,0.507,0.381,0.47,2113.22,886.99,3000.2,0.61,0.75,0.65,At 30 cm height there were two stems measuring 3.4 and 2.3 cm in diameter.
P14,-106.235,34.4409,1,1.518,0.996,5,4.4,1,22.1,19.8,,166800,125420,292220,0.418,0.41,0.415,96997.43,74013.38,171010.81,0.03,0.05,0.04,"DBH measuremnt at 0.45 cm, above branch."
P15,-106.235,34.44118,8,3.724,3.353,30,6.4,0,20.2,18.8,,57000,96640,153640,0.364,0.379,0.373,36257.89,60003.41,96261.29,0.05,0.05,0.05,"High dieback, low needle retention, parasitic mistletoe present."
P16,-106.235,34.44116,3,1.957,1.89,0,1.9,0,8.1,7.2,8.4,15600,4479,20079,0.482,0.449,0.474,8080.32,2467.18,10547.5,0.09,0.65,0.21,Diameter measured above a branch and the base.
P17,-106.236,34.44102,5,2.798,2.44,5,3.2,0,11.4,9.2,11.2,23820,12920,36740,0.461,0.389,0.433,12842.93,7896.83,20739.76,0.02,0.2,0.09,Diameter measured above swell at the base
P18,-106.235,34.44022,7,3.987,2.614,10,6,2.2,22.7,20.2,22.3,48920,77100,126020,0.464,0.35,0.389,26200.2,50107.88,76308.08,0.03,0.05,0.04,Leaning lots.
P19,-106.235,34.43915,12,4.595,3.434,20,5.1,1.6,17.9,17.1,,57840,51400,109240,0.375,0.35,0.363,36165.87,33392.92,69558.79,0.06,0.11,0.09,Thin crown (only ca. 2-3 years of needles). Juniper next to base was removed prior to survey and harvest.
P20,-106.235,34.43911,8,3.532,2.924,5,5.1,1.4,19.3,18.8,,46440,78520,124960,0.406,0.385,0.393,27572.45,48287.7,75860.15,0.07,0.06,0.07,An adjacent Juniper next to base was removed prior to survey and harvest.
